timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:43:17.752, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:22.752, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:27.754, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:32.754, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:37.755, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 90 %, 65 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:42.756, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:47.757, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:52.758, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:43:57.759, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:02.760, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:07.761, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 64 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:12.762, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 64 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:17.763, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 64 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:22.764, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:27.765, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:32.765, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:37.766, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 68 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:42.768, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:47.769, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:52.769, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:44:57.770, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:02.771, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:07.772, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 93 %, 66 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:12.773, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:17.774, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:22.775, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:27.776, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:32.777, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 69 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:37.778, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 70 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:42.779, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 67 %, 7948 MiB, 2756 MiB, 5192 MiB
2021/09/17 10:45:47.780, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 70 %, 7948 MiB, 2755 MiB, 5193 MiB
2021/09/17 10:45:52.780, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 67 %, 7948 MiB, 2755 MiB, 5193 MiB
